BOMBA_FUNCIONANDO,PRESION_AGUA_SELLO,FLUJO_AGUA_SELLO,VELOCIDAD,FLUJO_TRANSMISOR,DENSIMETRO_NUCLEAR,V_VELOCIDAD,ACELERACION,TEMPERATURA,FALLAS
1.0,690.61,3.79,29.44,3.07,1.89,5.35,15.66,35.88,1
1,692.4,3.6,29.33,2.53,1.86,3.9,14.68,35.31,1
1,694.32,3.59,29.4,2.8,1.83,3.9,15.83,34.75,1
1,691.8,3.67,29.44,2.67,1.77,3.9,17.69,33.06,1
1,693.72,3.66,29.44,2.4,1.82,2.42,18.57,32.5,1
1,839.84,8.69,58.73,180.2,1.98,2.53,16.5,37,2
1,839.84,8.69,58.73,180.2,1.98,2.53,17.3,40.81,2
1,839.84,8.69,58.73,180.2,1.98,2.53,21.29,59.88,2
1,839.84,8.69,58.73,180.2,1.98,2.53,22.09,63.69,2
1,839.84,8.69,58.73,180.2,1.98,2.53,22.89,67.5,2
1,839.84,8.69,58.73,180.2,1.98,2.53,23.69,71.31,2
1,839.84,8.69,58.73,180.2,1.98,4,24.49,75.12,3
1,839.84,8.69,58.73,180.2,1.98,4.5,25.29,78.94,3
1,839.84,8.69,58.73,180.2,1.98,5,26.09,82.75,3
1,839.84,8.69,58.73,180.2,1.98,6.5,28.48,94.19,3
1,839.84,8.69,58.73,180.2,1.98,7,29.28,98,3
1,839.84,8.69,0,0,1.98,7.5,30.08,101.81,4
1,839.84,8.69,1,1,1.98,7.5,30.08,101.81,4
1,839.84,8.69,2,2,1.98,7.5,30.08,101.81,4
1,839.84,8.69,3,3,1.98,7.5,30.08,101.81,4
1,839.84,8.69,5,4,1.98,7.5,30.08,101.81,4
1,839.84,8.69,6,6,1.98,7.5,30.08,101.81,4
1,839.84,8.69,7,7,1.98,7.5,30.08,101.81,4
1,839.84,8.69,8,8,1.98,7.5,30.08,101.81,4
1,839.84,8.69,9,9,1.98,7.5,30.08,101.81,4
1,839.84,8.69,10,10,1.98,7.5,30.08,101.81,4
1,839.84,8.69,58.73,180.2,1.98,5.31,16.48,33.39,5
1,839.84,8.69,58.73,180.2,1.98,5.48,16.53,33.4,5
1,839.84,8.69,58.73,180.2,1.98,5.66,16.58,33.41,5
1,839.84,8.69,58.73,180.2,1.98,5.83,16.63,33.43,5
1,839.84,8.69,58.73,180.2,1.98,6.01,16.68,33.44,5
1,839.84,8.69,58.73,180.2,1.98,6.87,16.92,33.5,5
1,839.84,8.69,58.73,180.2,1.98,7.05,16.97,33.51,5
1,839.84,8.69,58.73,180.2,1.98,7.22,17.02,33.53,5
1,839.84,8.69,58.73,180.2,1.98,7.4,17.07,33.54,5
1,839.84,8.69,58.73,180.2,1.98,7.57,17.12,33.55,5
1,839.84,8.69,58.73,180.2,1.98,7.74,17.17,33.56,5
1,839.84,8.69,58.73,180.2,1.98,7.92,17.22,33.58,5
1,839.84,8.69,58.73,180.2,1.98,8.09,17.27,33.59,5
1,839.84,8.69,58.73,180.2,1.98,8.79,17.46,33.64,5
1,839.84,8.69,58.73,180.2,1.98,8.96,17.51,33.65,5
1,839.84,8.69,58.73,180.2,1.98,9.14,17.56,33.66,5
1,839.84,8.69,58.73,180.2,1.98,9.31,17.61,33.68,5
1,839.84,8.69,58.73,179,1.98,9.48,17.66,33.69,6
1,839.84,8.69,58.73,177.8,1.98,9.66,17.71,33.7,6
1,839.84,8.69,58.73,176.6,1.98,9.83,17.76,33.71,6
1,839.84,8.69,58.73,175.4,1.98,10.01,17.81,33.73,6
1,839.84,8.69,58.73,174.2,1.98,10.18,17.85,33.74,6
1,839.84,8.69,58.73,0,1.98,10.35,17.9,33.75,7
1,839.84,8.69,58.73,1,1.98,10.35,17.9,33.74,7
1,839.84,8.69,58.73,2,1.98,10.35,17.9,33.75,7
1,839.84,8.69,58.73,3,1.98,10.35,17.9,33.75,7
1,839.84,8.69,58.73,4,1.98,10.35,17.9,33.75,7
1,839.84,8.69,58.73,5,1.98,10.35,17.9,33.75,7
1,839.84,8.69,58.73,6,1.98,10.35,17.9,33.75,7
1,685.84,5.19,65.73,202.03,1.71,4.69,19.4,34.07,8
1,685.84,5.19,65.73,202.03,1.71,4.79,19.65,34.09,8
1,685.84,5.19,65.73,202.03,1.71,5.59,21.65,34.2,8
1,685.84,5.19,65.73,202.03,1.71,5.69,21.9,34.22,8
1,685.84,5.19,65.73,202.03,1.71,5.79,22.15,34.23,8
1,685.84,5.19,65.73,202.03,1.71,5.89,22.4,34.25,8
1,685.84,5.19,65.73,202.03,1.71,5.99,22.65,34.27,8
1,685.84,5.19,65.73,202.03,1.71,6.08,22.9,34.28,8
1,685.84,5.19,65.73,202.03,1.71,6.18,23.15,34.3,8
1,685.84,5.19,65.73,202.03,1.71,6.28,23.4,34.31,8
1,685.84,5.19,65.73,202.03,1.71,6.38,23.65,34.33,8
1,685.84,5.19,65.73,202.03,1.71,6.48,23.9,34.34,8
1,685.84,5.19,65.73,202.03,1.71,6.58,24.15,34.35,8
1,685.84,5.19,65.73,202.03,1.71,6.68,24.4,34.37,8
1,685.84,5.19,65.73,202.03,1.71,6.78,24.65,34.38,8
1,685.84,5.19,65.73,202.03,1.71,6.88,24.9,34.4,8
1,685.84,5.19,65.73,202.03,1.71,6.98,25.15,34.41,8
1,685.84,5.19,65.73,202.03,1.71,7.08,25.4,34.43,8
1,685.84,5.19,65.73,202.03,1.71,7.18,25.65,34.45,8
1,685.84,5.19,65.73,202.03,1.71,7.28,25.9,34.46,9
1,685.84,5.19,65.73,202.03,1.71,7.38,26.15,34.48,9
1,685.84,5.19,65.73,202.03,1.71,7.48,26.4,34.49,9
1,685.84,5.19,65.73,202.03,1.71,7.58,26.65,34.51,9
1,685.84,5.19,65.73,202.03,1.71,7.68,26.9,34.52,9
1,685.84,5.19,65.73,202.03,1.71,7.78,27.15,34.53,9
1,685.84,5.19,65.73,202.03,1.71,7.87,27.4,34.55,9
1,685.84,5.19,65.73,202.03,1.71,8.67,29.4,34.67,9
1,685.84,5.19,65.73,202.03,1.71,8.77,29.65,34.69,9
1,685.84,5.19,65.73,202.03,1.71,8.87,29.9,34.7,9
1,685.84,5.19,65.73,202.03,1.71,8.97,30.15,34.72,9
1,685.84,5.19,65.73,202.03,1.71,9.07,30.4,34.73,9
1,685.84,5.19,65.73,202.03,1.71,9.17,30.65,34.74,9
1,685.84,5.19,65.73,202.03,1.71,9.27,30.9,34.76,9
