BOMBA_FUNCIONANDO,PRESION_AGUA_SELLO,FLUJO_AGUA_SELLO,VELOCIDAD,FLUJO_TRANSMISOR,DENSIMETRO_NUCLEAR,V_VELOCIDAD,ACELERACION,TEMPERATURA,FALLAS
1.0,692.4,3.7,29.44,3.07,1.79,5.354472,15.2904,34.1875,1
1.0,690.61,3.66,29.3,2.67,1.76,3.758601,16.14995,33.625,1
1.0,839.84,8.69,58.73,180.2,1.98,2.526052,18.09786,44.625,2
1.0,839.84,8.69,58.73,180.2,1.98,2.526052,18.89679,48.4375,2
1.0,839.84,8.69,58.73,180.2,1.98,2.526052,19.69572,52.25,2
1.0,839.84,8.69,58.73,180.2,1.98,2.526052,20.49465,56.0625,2
1.0,839.84,8.69,58.73,180.2,1.98,5.5,26.88609,86.5625,3
1.0,839.84,8.69,58.73,180.2,1.98,6.0,27.68502,90.375,3
1.0,839.84,8.69,58.73,180.2,1.98,6.17896,16.7286,33.45,5
1.0,839.84,8.69,58.73,180.2,1.98,6.352908,16.77753,33.4625,5
1.0,839.84,8.69,58.73,180.2,1.98,6.526856,16.82646,33.475,5
1.0,839.84,8.69,58.73,180.2,1.98,6.700804,16.87539,33.4875,5
1.0,839.84,8.69,58.73,180.2,1.98,8.266336,17.31576,33.6,5
1.0,839.84,8.69,58.73,180.2,1.98,8.440284,17.36469,33.6125,5
1.0,839.84,8.69,58.73,180.2,1.98,8.614232,17.41362,33.625,5
1.0,839.84,8.69,58.73,0.0,1.98,10.353712,17.90292,33.76,7
1.0,839.84,8.69,58.73,0.0,1.98,10.353712,17.90292,33.75,7
1.0,685.84,5.19,65.73,202.03,1.71,4.891908,19.9007,34.1,8
1.0,685.84,5.19,65.73,202.03,1.71,4.99133,20.15075,34.115,8
1.0,685.84,5.19,65.73,202.03,1.71,5.090752,20.4008,34.13,8
1.0,685.84,5.19,65.73,202.03,1.71,5.190174,20.65085,34.145,8
1.0,685.84,5.19,65.73,202.03,1.71,5.289596,20.9009,34.16,8
1.0,685.84,5.19,65.73,202.03,1.71,5.389018,21.15095,34.175,8
1.0,685.84,5.19,65.73,202.03,1.71,5.48844,21.401,34.19,8
1.0,685.84,5.19,65.73,202.03,1.71,7.97399,27.65225,34.565,9
1.0,685.84,5.19,65.73,202.03,1.71,8.073412,27.9023,34.58,9
1.0,685.84,5.19,65.73,202.03,1.71,8.172834,28.15235,34.595,9
1.0,685.84,5.19,65.73,202.03,1.71,8.272256,28.4024,34.61,9
1.0,685.84,5.19,65.73,202.03,1.71,8.371678,28.65245,34.625,9
1.0,685.84,5.19,65.73,202.03,1.71,8.4711,28.9025,34.64,9
1.0,685.84,5.19,65.73,202.03,1.71,8.570522,29.15255,34.655,9
1.0,685.84,5.19,65.73,202.03,1.71,10.95665,35.15375,35.015,9
1.0,685.84,5.19,65.73,202.03,1.71,11.056072,35.4038,35.03,9
1.0,685.84,5.19,65.73,202.03,1.71,11.155494,35.65385,35.045,9
1.0,685.84,5.19,65.73,202.03,1.71,11.254916,35.9039,35.06,9
1.0,685.84,5.19,65.73,202.03,1.71,11.354338,36.15395,35.075,9
1.0,685.84,5.19,65.73,202.03,1.71,12.94509,40.15475,35.315,10
1.0,685.84,5.19,65.73,202.03,1.71,13.044512,40.4048,35.33,10
1.0,685.84,5.19,65.73,202.03,1.71,13.143934,40.65485,35.345,10
1.0,685.84,5.19,65.73,202.03,1.71,13.243356,40.9049,35.36,10
1.0,685.84,5.19,65.73,202.03,1.71,13.342778,41.15495,35.375,10
1.0,685.84,5.19,0.0,0.0,1.71,14.43642,43.9055,35.52,11
1.0,685.84,5.19,0.0,0.0,1.71,14.43642,43.9055,35.51,11
1.0,685.24,5.22,55.97,173.66,1.78,4.384581,15.66287,31.0625,0
1.0,719.01,5.06,56.09,199.61,1.81,3.903822,15.83478,31.8125,0
1.0,697.3,5.09,60.08,193.09,1.72,4.006531,15.2904,31.75,0
1.0,839.84,8.69,58.73,180.2,1.98,3.047896,15.84786,33.225,0
1.0,839.84,8.69,58.73,180.2,1.98,3.221844,15.89679,33.2375,0
1.0,839.84,8.69,58.73,180.2,1.98,3.395792,15.94572,33.25,0
1.0,839.84,8.69,58.73,180.2,1.98,3.56974,15.99465,33.2625,0
1.0,839.84,8.69,58.73,180.2,1.98,3.743688,16.04358,33.275,0
1.0,839.84,8.69,58.73,180.2,1.98,3.917636,16.09251,33.2875,0
1.0,839.84,8.69,58.73,180.2,1.98,4.091584,16.14144,33.3,0
1.0,685.84,5.19,65.73,202.03,1.71,3.5,16.4,33.89,0
1.0,685.84,5.19,65.73,202.03,1.71,3.599422,16.65005,33.905,0
1.0,685.84,5.19,65.73,202.03,1.71,3.698844,16.9001,33.92,0
1.0,685.84,5.19,65.73,202.03,1.71,3.798266,17.15015,33.935,0
1.0,685.84,5.19,65.73,202.03,1.71,3.897688,17.4002,33.95,0
